timestep, id, lat, long, angle, speed, RSSI, throughput
80.00, 4, 37.967331, 23.774532, 229.707852, 0.000000, 73.88737456238178, 36.94368728119089
80.00, 5, 37.971738, 23.758638, 38.291786, 0.000000, 75.88041368960155, 37.94020684480078
80.00, 6, 37.968361, 23.774376, 152.898572, 0.000000, 64.1464845660564, 32.0732422830282
81.00, 1, 37.967521, 23.769369, 274.400264, 5.893475, 65.85308347047442, 32.92654173523721
81.00, 2, 37.970303, 23.762753, 120.626749, 5.216981, 63.00073877563337, 31.500369387816683
81.00, 3, 37.971229, 23.760878, 118.018841, 5.617784, 57.23854273312859, 28.6192713665643
81.00, 4, 37.967326, 23.774522, 230.554332, 1.000000, 60.06499429984783, 30.032497149923916
81.00, 5, 37.971745, 23.758645, 38.291786, 1.000000, 42.0155221835481, 21.00776109177405
81.00, 6, 37.968353, 23.774381, 152.898572, 1.000000, 56.74722722715639, 28.37361361357819
82.00, 1, 37.967527, 23.769302, 274.400264, 5.893475, 43.79901217419256, 21.89950608709628
82.00, 2, 37.970277, 23.762803, 120.626749, 5.216981, 83.2498295827235, 41.62491479136175
82.00, 3, 37.971204, 23.760934, 118.383779, 5.617784, 29.36143298649204, 14.68071649324602
82.00, 4, 37.967316, 23.774503, 233.076683, 2.000000, 45.22758002245584, 22.61379001122792
82.00, 5, 37.971759, 23.758660, 38.291786, 2.000000, 66.32093833419006, 33.16046916709503
82.00, 6, 37.968337, 23.774390, 152.898572, 2.000000, 35.319042485542944, 17.659521242771472
83.00, 1, 37.967532, 23.769236, 274.400264, 5.893475, 86.07972226900924, 43.03986113450462
83.00, 2, 37.970252, 23.762853, 120.565693, 5.216981, 77.36151170218835, 38.680755851094176
83.00, 3, 37.971178, 23.760988, 119.495421, 5.617784, 69.53098050612203, 34.76549025306102
83.00, 4, 37.967302, 23.774474, 236.010480, 3.000000, 41.82394034275981, 20.911970171379906
83.00, 5, 37.971780, 23.758682, 38.291786, 3.000000, 43.479521222258725, 21.739760611129363
83.00, 6, 37.968312, 23.774405, 152.898572, 3.000000, 33.886927280568386, 16.943463640284193
84.00, 1, 37.967538, 23.769169, 274.400264, 5.893475, 34.07548334908883, 17.037741674544414
84.00, 2, 37.970227, 23.762903, 120.498704, 5.216981, 33.03604402867264, 16.51802201433632
84.00, 3, 37.971151, 23.761043, 119.495421, 5.617784, 74.93334156919295, 37.466670784596474
84.00, 4, 37.967285, 23.774434, 239.881328, 4.000000, 26.74452341366034, 13.37226170683017
84.00, 5, 37.971807, 23.758712, 39.779928, 4.000000, 73.40416546970067, 36.702082734850336
84.00, 6, 37.968280, 23.774425, 152.898572, 4.000000, 60.24637522079033, 30.123187610395163
85.00, 1, 37.967543, 23.769102, 274.380781, 5.893475, 82.3321518023221, 41.16607590116105
85.00, 2, 37.970202, 23.762954, 120.498704, 5.216981, 57.870828489314945, 28.93541424465747
85.00, 3, 37.971125, 23.761098, 119.495421, 5.617784, 36.56499238644777, 18.282496193223885
85.00, 4, 37.967269, 23.774381, 247.327997, 5.000000, 52.20451108263365, 26.102255541316826
85.00, 5, 37.971833, 23.758758, 52.952756, 5.000000, 69.94828765746327, 34.974143828731634
85.00, 6, 37.968242, 23.774447, 152.898572, 4.620600, 89.71341046473364, 44.85670523236682
86.00, 1, 37.967549, 23.769036, 274.377051, 5.893475, 79.61910931506894, 39.80955465753447
86.00, 2, 37.970177, 23.763004, 120.498704, 5.216981, 44.34154914504943, 22.170774572524714
86.00, 3, 37.971099, 23.761152, 119.495421, 5.617784, 28.48930428140362, 14.244652140701811
86.00, 4, 37.967254, 23.774316, 252.167489, 6.000000, 64.20592670406843, 32.102963352034216
86.00, 5, 37.971856, 23.758815, 62.056924, 5.728514, 59.53140567369541, 29.76570283684771
86.00, 6, 37.968205, 23.774470, 152.898572, 4.620600, 49.76484104154477, 24.882420520772385
87.00, 1, 37.967555, 23.768969, 274.377051, 5.893475, 73.80008323778748, 36.90004161889374
87.00, 2, 37.970152, 23.763054, 120.498704, 5.216981, 44.10652006001691, 22.053260030008456
87.00, 3, 37.971073, 23.761207, 119.495421, 5.617784, 38.07942432145474, 19.03971216072737
87.00, 4, 37.967243, 23.774249, 256.747542, 6.019630, 54.72939876742203, 27.364699383711017
