16710 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16713 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16716 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16719 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16722 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16725 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16728 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16731 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16734 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16737 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16740 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16743 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16746 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16749 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16752 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16755 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16758 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16761 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16764 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16767 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16770 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16773 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16776 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16779 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16782 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16785 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16788 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16791 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16794 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16797 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16800 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16803 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16806 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16809 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16812 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16815 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16818 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16821 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16824 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16827 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16830 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16833 -- turns into : 3 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16836 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16839 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16842 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16845 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16848 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16851 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16854 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16857 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16860 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16863 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16866 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16869 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16872 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16875 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16878 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16881 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16884 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16887 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16890 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16893 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16896 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16899 -- turns into : 6 - strength solo/opposite : 0.5 , strenght mutual/opposite : 0.5
16902 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16905 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16908 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16911 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16914 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16917 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16920 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16923 -- turns into : 3 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16926 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16929 -- turns into : 9 - strength solo : 2 , strenght solo/opposite : 2.0
16932 -- turns into : 3 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16935 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16938 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16941 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16944 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16947 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16950 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16953 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16956 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16959 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.5
16962 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16965 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16968 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16971 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16974 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16977 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16980 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16983 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16986 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 2.0
16989 -- turns into : 6 - strength solo/opposite : 0.5 , strenght mutual/opposite : 0.5
16992 -- turns into : 9 - strength solo : 2 , strenght solo/opposite : 2.0
16995 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 0.5
16998 -- turns into : 6 - strength solo/opposite : 0.5 , strenght mutual/opposite : 0.5
17001 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
17004 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17007 -- turns into : 6 - strength solo/opposite : 0 , strenght mutual/opposite : 0
17010 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0
17013 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 1
